,Country Name,Country Code,Indicator Name,Indicator Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017,Indicator Name,Indicator Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
0,Aruba,ABW,Net migration,SM.POP.NETM,-4323,-4275,-3537,-5470,-1921,-5194,14218,6926,6263,-441,1253,1004,"Population, total",SP.POP.TOTL,56225,58055,59840,60366,61345,61833,68235,85451,94992,101222,102560,105366
1,Afghanistan,AFG,Net migration,SM.POP.NETM,-20000,-20000,-20000,-1153959,-3345095,-1525351,3076383,-867540,744193,-1046361,521769,-314602,"Population, total",SP.POP.TOTL,9351441,10399926,11791215,13171306,12882528,11604534,14485546,19357126,22600770,27100536,31161376,36296400
2,Angola,AGO,Net migration,SM.POP.NETM,-296717,-587286,199800,199800,234148,188491,142812,199800,261100,357301,166267,32066,"Population, total",SP.POP.TOTL,5608539,5774243,6248552,7533735,8952950,10689250,12657366,14871570,17519417,20905363,25107931,29816748
3,Albania,ALB,Net migration,SM.POP.NETM,-99,-99,-99,-99,-99,-99,-443212,-179606,-176774,-217358,-136590,-69998,"Population, total",SP.POP.TOTL,1711319,1965598,2243126,2513546,2784278,3083605,3247039,3148281,3051010,2970017,2900401,2873457
4,Andorra,AND,Net migration,SM.POP.NETM,,,,,,,,,,,,,"Population, total",SP.POP.TOTL,15370,20758,26892,32771,39114,48455,58888,64327,70049,82684,82427,77001
5,Arab World,ARB,Net migration,SM.POP.NETM,-499808,-835129,-920852,1644984,497963,-562598,-255813,-1739489,183214,3760036,47229,-1408824,"Population, total",SP.POP.TOTL,97334442,111899364,128598734,149161891,175061792,203084971,232956352,264822188,294665185,330290716,371443547,411898967
6,United Arab Emirates,ARE,Net migration,SM.POP.NETM,37882,53823,260488,372430,184159,256638,368126,498394,1189616,3592436,270000,200000,"Population, total",SP.POP.TOTL,112118,169771,330974,735344,1164806,1533536,2052891,2671362,3478777,6168838,9141596,9487203
7,Argentina,ARG,Net migration,SM.POP.NETM,122000,130000,142000,-230000,140000,160000,-105000,-128000,-125000,-120000,30000,24000,"Population, total",SP.POP.TOTL,21153052,22828869,24653175,26661398,28794548,31184415,33529326,35657429,37681749,39684295,41733271,44044811
8,Armenia,ARM,Net migration,SM.POP.NETM,70335,103399,86404,17214,-51230,-67528,-496288,-223873,-160521,-183361,-30535,-24989,"Population, total",SP.POP.TOTL,2009526,2339127,2650486,2944383,3193689,3451947,3442817,3133089,3033978,2932618,2884229,2944809
9,American Samoa,ASM,Net migration,SM.POP.NETM,,,,,,,,,,,,,"Population, total",SP.POP.TOTL,21253,25248,28567,30838,34968,42740,49896,55221,59080,58365,55667,55620
10,Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,-1880,-1202,-7018,-4428,-3763,-2890,2231,2469,252,1887,943,0,"Population, total",SP.POP.TOTL,55841,61241,64133,62159,61779,61717,64471,71704,78295,84026,90409,95426
11,Australia,AUS,Net migration,SM.POP.NETM,384343,806193,259531,235744,453572,654209,351078,388419,589282,1210802,989375,791229,"Population, total",SP.POP.TOTL,10742000,11799000,13177000,14192000,15178000,16263900,17495000,18517000,19651400,20827600,22733465,24601860
12,Austria,AUT,Net migration,SM.POP.NETM,15996,50401,82001,5502,18002,110999,227841,65082,178117,153763,267172,324998,"Population, total",SP.POP.TOTL,7129864,7376998,7544201,7568430,7574140,7574586,7840709,7968041,8081957,8295487,8429991,8797566
13,Azerbaijan,AZE,Net migration,SM.POP.NETM,0,-40000,-50466,-50466,-101568,-161568,-115116,-111849,36523,53579,8499,6002,"Population, total",SP.POP.TOTL,4171426,4843868,5385263,5863132,6349553,6893489,7382000,7838250,8171950,8581300,9295784,9854033
14,Burundi,BDI,Net migration,SM.POP.NETM,-84989,-57900,-266496,-150290,-139146,-180004,-320001,-455304,-24721,30004,-70001,10003,"Population, total",SP.POP.TOTL,2907321,3253218,3569666,3854445,4379724,5027138,5685565,6122130,6704113,7862214,9245988,10827024
15,Belgium,BEL,Net migration,SM.POP.NETM,38304,47288,70980,73523,18478,42556,106947,50870,219560,294270,258672,240000,"Population, total",SP.POP.TOTL,9220578,9580991,9711115,9830358,9856303,9870234,10045158,10181245,10332785,10625700,11106932,11375158
16,Benin,BEN,Net migration,SM.POP.NETM,-24295,-23742,-24845,-19393,-10848,-8723,68259,-2851,25005,-48776,-42268,-10000,"Population, total",SP.POP.TOTL,2502896,2735307,3043567,3433439,3927714,4535263,5331803,6281639,7295394,8454793,9729248,11175204
17,Burkina Faso,BFA,Net migration,SM.POP.NETM,-144723,-144723,-170263,-217400,-217400,-183699,-150001,-137499,-125000,-125000,-125000,-125000,"Population, total",SP.POP.TOTL,4960326,5343019,5825173,6398935,7158255,8140073,9297113,10665546,12293100,14252021,16571246,19193284
18,Bangladesh,BGD,Net migration,SM.POP.NETM,-142378,-161822,-3045287,-1137344,-793826,-219363,-813794,-719899,-1492537,-3254778,-2306839,-1847503,"Population, total",SP.POP.TOTL,50752157,59034249,66625705,73463584,83932127,95671163,107983704,120160564,132478086,142660376,151007807,159670593
19,Bulgaria,BGR,Net migration,SM.POP.NETM,-1437,-6423,-43396,-94868,-22346,-184143,-356464,-133824,-85500,-83742,-24472,-24001,"Population, total",SP.POP.TOTL,8012946,8310226,8576200,8804183,8917457,8971359,8540164,8312068,7837161,7545338,7305888,7075947
20,Bahrain,BHR,Net migration,SM.POP.NETM,-4195,-8033,19123,48962,3234,12899,5480,39180,155500,272000,42000,239000,"Population, total",SP.POP.TOTL,173144,196063,229155,303175,385950,448971,523086,594931,735146,1035919,1299943,1494074
21,"Bahamas, The",BHS,Net migration,SM.POP.NETM,13873,13929,949,2981,646,-811,-322,-3001,11877,14536,4999,4999,"Population, total",SP.POP.TOTL,121091,152620,177866,197101,220184,243271,266029,287358,307660,337389,363584,381761
22,Bosnia and Herzegovina,BIH,Net migration,SM.POP.NETM,-50002,-96958,-82247,-74132,-29999,-134587,-740715,-159283,-6000,-59246,-258529,-107926,"Population, total",SP.POP.TOTL,3353226,3632672,3851153,4063193,4265185,4479519,4233676,3736070,3759387,3762786,3604972,3351527
23,Belarus,BLR,Net migration,SM.POP.NETM,-125387,65585,37146,38298,47114,-23021,-63057,56146,-6382,63933,72123,43648,"Population, total",SP.POP.TOTL,8351928,8785648,9188968,9463000,9776000,10111000,10216000,10117000,9865548,9560953,9464495,9498264
24,Belize,BLZ,Net migration,SM.POP.NETM,-2418,-2957,-10665,-13542,-5332,-5404,-9011,11909,5797,8722,7594,6000,"Population, total",SP.POP.TOTL,97384,112692,127150,136989,151500,174320,194324,221580,262378,299025,338000,375769
25,Bermuda,BMU,Net migration,SM.POP.NETM,,,,,,,,,,,,,"Population, total",SP.POP.TOTL,46600,52000,54200,53400,55449,57849,58595,60497,62912,64888,64798,63873
