,Country Name,Country Code,Region,Income Group,Net Migration 1962,Population 1962,MigrRatePopn1962,Net Migration 1967,Population 1967,MigrRatePopn1967,Net Migration 1972,Population 1972,MigrRatePopn1972,Net Migration 1977,Population 1977,MigrRatePopn1977,Net Migration 1982,Population 1982,MigrRatePopn1982,Net Migration 1987,Population 1987,MigrRatePopn1987,Net Migration 1992,Population 1992,MigrRatePopn1992,Net Migration 1997,Population 1997,MigrRatePopn1997,Net Migration 2002,Population 2002,MigrRatePopn2002,Net Migration 2007,Population 2007,MigrRatePopn2007,Net Migration 2012,Population 2012,MigrRatePopn2012,Net Migration 2017,Population 2017,MigrRatePopn2017,Country,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual
0,Aruba,ABW,Latin America & Caribbean,High income,-4323.0,56225.0,-0.07688750555802579,-4275.0,58055.0,-0.07363706829730428,-3537.0,59840.0,-0.05910762032085561,-5470.0,60366.0,-0.09061392174402808,-1921.0,61345.0,-0.031314695574211425,-5194.0,61833.0,-0.08400045283262983,14218.0,68235.0,0.20836813951784275,6926.0,85451.0,0.08105229897836187,6263.0,94992.0,0.06593186794677447,-441.0,101222.0,-0.0043567603880579325,1253.0,102560.0,0.01221723868954758,1004.0,105366.0,0.009528690469411386,,,,,,,,,,,,
1,Afghanistan,AFG,South Asia,Low income,-20000.0,9351441.0,-0.002138707820538033,-20000.0,10399926.0,-0.0019230906066062395,-20000.0,11791215.0,-0.0016961780444169664,-1153959.0,13171306.0,-0.08761158536594625,-3345095.0,12882528.0,-0.25966138012663353,-1525351.0,11604534.0,-0.1314443992322311,3076383.0,14485546.0,0.21237604713001496,-867540.0,19357126.0,-0.044817603604997966,744193.0,22600770.0,0.032927771929894434,-1046361.0,27100536.0,-0.038610343352618565,521769.0,31161376.0,0.016744093713961797,-314602.0,36296400.0,-0.008667581357930814,Afghanistan,141.0,3.7939999103546103,3.8736614152789106,3.71433840543032,0.401477217674255,0.581543326377869,0.18074677884578697,0.106179520487785,0.311870932579041,0.0611578300595284,2.15080118179321
2,Angola,AGO,Sub-Saharan Africa,Lower middle income,-296717.0,5608539.0,-0.05290450864298171,-587286.0,5774243.0,-0.10170787755208778,199800.0,6248552.0,0.03197540806253993,199800.0,7533735.0,0.02652070984710771,234148.0,8952950.0,0.026153167391753555,188491.0,10689250.0,0.017633697406272658,142812.0,12657366.0,0.01128291620863298,199800.0,14871570.0,0.013435030733137121,261100.0,17519417.0,0.014903463968007612,357301.0,20905363.0,0.01709135593579504,166267.0,25107931.0,0.006622090844522394,32066.0,29816748.0,0.0010754358590681988,Angola,140.0,3.79500007629395,3.9516419354081203,3.63835821717978,0.8584281802177429,1.1044119596481299,0.0498686656355858,0.0,0.09792649000883098,0.0697203353047371,1.6144824028015101
3,Albania,ALB,Europe & Central Asia,Upper middle income,-99.0,1711319.0,-5.7850114443888025e-05,-99.0,1965598.0,-5.036635161411438e-05,-99.0,2243126.0,-4.413483683038759e-05,-99.0,2513546.0,-3.938658771313515e-05,-99.0,2784278.0,-3.5556794256895317e-05,-99.0,3083605.0,-3.21052793726823e-05,-443212.0,3247039.0,-0.1364972826011637,-179606.0,3148281.0,-0.0570489101830491,-176774.0,3051010.0,-0.05793950200097672,-217358.0,2970017.0,-0.07318409288566363,-136590.0,2900401.0,-0.047093488107334124,-69998.0,2873457.0,-0.024360204450597316,Albania,109.0,4.64400005340576,4.75246400639415,4.53553610041738,0.996192753314972,0.8036852478981021,0.731159746646881,0.381498634815216,0.20131294429302202,0.0398642159998417,1.49044156074524
4,Andorra,AND,Europe & Central Asia,High income,,15370.0,,,20758.0,,,26892.0,,,32771.0,,,39114.0,,,48455.0,,,58888.0,,,64327.0,,,70049.0,,,82684.0,,,82427.0,,,77001.0,,,,,,,,,,,,,
5,Arab World,ARB,,,-499808.0,97334442.0,-0.005134955209380046,-835129.0,111899364.0,-0.007463214893696805,-920852.0,128598734.0,-0.007160661472763798,1644984.0,149161891.0,0.011028178772552568,497963.0,175061792.0,0.0028444984728592288,-562598.0,203084971.0,-0.002770259154233525,-255813.0,232956352.0,-0.001098115581754989,-1739489.0,264822188.0,-0.006568516834397577,183214.0,294665185.0,0.0006217700947602616,3760036.0,330290716.0,0.01138401964649833,47229.0,371443547.0,0.00012714987346381333,-1408824.0,411898967.0,-0.003420314477263547,,,,,,,,,,,,
6,United Arab Emirates,ARE,Middle East & North Africa,High income,37882.0,112118.0,0.3378761661820582,53823.0,169771.0,0.3170329443780151,260488.0,330974.0,0.7870346311190607,372430.0,735344.0,0.5064704410452795,184159.0,1164806.0,0.15810272268515102,256638.0,1533536.0,0.16735048932662813,368126.0,2052891.0,0.17932077251057169,498394.0,2671362.0,0.18656924819623846,1189616.0,3478777.0,0.3419638568381934,3592436.0,6168838.0,0.5823521382795269,270000.0,9141596.0,0.02953532402875822,200000.0,9487203.0,0.021081028834315025,United Arab Emirates,21.0,6.6479997634887695,6.72204730376601,6.57395222321153,1.6263433694839498,1.2664102315902699,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537,1.734703540802
7,Argentina,ARG,Latin America & Caribbean,Upper middle income,122000.0,21153052.0,0.00576748924930549,130000.0,22828869.0,0.005694544044209986,142000.0,24653175.0,0.005759907192481293,-230000.0,26661398.0,-0.008626704421126005,140000.0,28794548.0,0.0048620315206892644,160000.0,31184415.0,0.005130768045512478,-105000.0,33529326.0,-0.003131586957638218,-128000.0,35657429.0,-0.003589714782857732,-125000.0,37681749.0,-0.0033172557887374073,-120000.0,39684295.0,-0.003023866242300638,30000.0,41733271.0,0.0007188509139386654,24000.0,44044811.0,0.0005448996023617856,Argentina,24.0,6.59899997711182,6.690085086077451,6.50791486814618,1.18529546260834,1.44045114517212,0.695137083530426,0.49451920390129106,0.109457060694695,0.05973988771438599,2.61400532722473
8,Armenia,ARM,Europe & Central Asia,Upper middle income,70335.0,2009526.0,0.035000791231365014,103399.0,2339127.0,0.044204098366612835,86404.0,2650486.0,0.0325993044294518,17214.0,2944383.0,0.0058463861528883975,-51230.0,3193689.0,-0.016041010881147164,-67528.0,3451947.0,-0.019562293395582263,-496288.0,3442817.0,-0.14415172226696918,-223873.0,3133089.0,-0.07145440171026103,-160521.0,3033978.0,-0.05290776663509096,-183361.0,2932618.0,-0.06252467931384176,-30535.0,2884229.0,-0.010586884744588588,-24989.0,2944809.0,-0.008485779553105142,Armenia,121.0,4.37599992752075,4.46673461228609,4.28526524275541,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,1.5214991569518999
9,American Samoa,ASM,East Asia & Pacific,Upper middle income,,21253.0,,,25248.0,,,28567.0,,,30838.0,,,34968.0,,,42740.0,,,49896.0,,,55221.0,,,59080.0,,,58365.0,,,55667.0,,,55620.0,,,,,,,,,,,,,
