United States,Germany,Turkey,United Kingdom,Canada,Colombia,Russian Federation,Uganda,Australia,Italy
1835728.0,669314.0,-149999.0,143068.0,178691.0,-306563.0,-1387844.0,124999.0,384343.0,-230527.0
1556054.0,871265.0,-180001.0,-84853.0,611117.0,-338635.0,-549722.0,50004.0,806193.0,-231781.0
2889346.0,701731.0,-240000.0,106415.0,758104.0,-380422.0,-296861.0,-276112.0,259531.0,19396.0
3770881.0,228894.0,-259998.0,39119.0,420633.0,-419350.0,614394.0,-179999.0,235744.0,164927.0
3382460.0,23.0,-70001.0,-97495.0,373939.0,-370972.0,1100559.0,-120001.0,453572.0,264799.0
3366853.0,1683737.0,-100001.0,98758.0,859217.0,-324000.0,890253.0,200002.0,654209.0,-10058.0
4463754.0,2628459.0,-120000.0,205443.0,690555.0,-287950.0,2490121.0,109998.0,351078.0,152825.0
8859954.0,715944.0,-99999.0,513361.0,783535.0,-259000.0,2374657.0,-180002.0,388419.0,-298237.0
5334893.0,824445.0,-39998.0,992223.0,1052013.0,-231000.0,1778101.0,-250002.0,589282.0,1664343.0
5428756.0,43087.0,-50000.0,2189404.0,1326431.0,-195000.0,2326672.0,-500000.0,1210802.0,1050948.0
4961716.0,1938576.0,1763078.0,1300231.0,1241416.0,-193380.0,1800600.0,-299994.0,989375.0,1637369.0
4774029.0,2719112.0,1419610.0,1303250.0,1210159.0,1023981.0,912279.0,843469.0,791229.0,744713.0
