Country Name,Country Code,Net Migration 1962,Net Migration 1967,Net Migration 1972,Net Migration 1977,Net Migration 1982,Net Migration 1987,Net Migration 1992,Net Migration 1997,Net Migration 2002,Net Migration 2007,Net Migration 2012,Net Migration 2017,Population 1962,Population 1967,Population 1972,Population 1977,Population 1982,Population 1987,Population 1992,Population 1997,Population 2002,Population 2007,Population 2012,Population 2017
Aruba,ABW,-4323.0,-4275.0,-3537.0,-5470.0,-1921.0,-5194.0,14218.0,6926.0,6263.0,-441.0,1253.0,1004.0,56225.0,58055.0,59840.0,60366.0,61345.0,61833.0,68235.0,85451.0,94992.0,101222.0,102560.0,105366.0
Afghanistan,AFG,-20000.0,-20000.0,-20000.0,-1153959.0,-3345095.0,-1525351.0,3076383.0,-867540.0,744193.0,-1046361.0,521769.0,-314602.0,9351441.0,10399926.0,11791215.0,13171306.0,12882528.0,11604534.0,14485546.0,19357126.0,22600770.0,27100536.0,31161376.0,36296400.0
Angola,AGO,-296717.0,-587286.0,199800.0,199800.0,234148.0,188491.0,142812.0,199800.0,261100.0,357301.0,166267.0,32066.0,5608539.0,5774243.0,6248552.0,7533735.0,8952950.0,10689250.0,12657366.0,14871570.0,17519417.0,20905363.0,25107931.0,29816748.0
Albania,ALB,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-443212.0,-179606.0,-176774.0,-217358.0,-136590.0,-69998.0,1711319.0,1965598.0,2243126.0,2513546.0,2784278.0,3083605.0,3247039.0,3148281.0,3051010.0,2970017.0,2900401.0,2873457.0
Andorra,AND,,,,,,,,,,,,,15370.0,20758.0,26892.0,32771.0,39114.0,48455.0,58888.0,64327.0,70049.0,82684.0,82427.0,77001.0
Arab World,ARB,-499808.0,-835129.0,-920852.0,1644984.0,497963.0,-562598.0,-255813.0,-1739489.0,183214.0,3760036.0,47229.0,-1408824.0,97334442.0,111899364.0,128598734.0,149161891.0,175061792.0,203084971.0,232956352.0,264822188.0,294665185.0,330290716.0,371443547.0,411898967.0
United Arab Emirates,ARE,37882.0,53823.0,260488.0,372430.0,184159.0,256638.0,368126.0,498394.0,1189616.0,3592436.0,270000.0,200000.0,112118.0,169771.0,330974.0,735344.0,1164806.0,1533536.0,2052891.0,2671362.0,3478777.0,6168838.0,9141596.0,9487203.0
Argentina,ARG,122000.0,130000.0,142000.0,-230000.0,140000.0,160000.0,-105000.0,-128000.0,-125000.0,-120000.0,30000.0,24000.0,21153052.0,22828869.0,24653175.0,26661398.0,28794548.0,31184415.0,33529326.0,35657429.0,37681749.0,39684295.0,41733271.0,44044811.0
Armenia,ARM,70335.0,103399.0,86404.0,17214.0,-51230.0,-67528.0,-496288.0,-223873.0,-160521.0,-183361.0,-30535.0,-24989.0,2009526.0,2339127.0,2650486.0,2944383.0,3193689.0,3451947.0,3442817.0,3133089.0,3033978.0,2932618.0,2884229.0,2944809.0
American Samoa,ASM,,,,,,,,,,,,,21253.0,25248.0,28567.0,30838.0,34968.0,42740.0,49896.0,55221.0,59080.0,58365.0,55667.0,55620.0
Antigua and Barbuda,ATG,-1880.0,-1202.0,-7018.0,-4428.0,-3763.0,-2890.0,2231.0,2469.0,252.0,1887.0,943.0,0.0,55841.0,61241.0,64133.0,62159.0,61779.0,61717.0,64471.0,71704.0,78295.0,84026.0,90409.0,95426.0
Australia,AUS,384343.0,806193.0,259531.0,235744.0,453572.0,654209.0,351078.0,388419.0,589282.0,1210802.0,989375.0,791229.0,10742000.0,11799000.0,13177000.0,14192000.0,15178000.0,16263900.0,17495000.0,18517000.0,19651400.0,20827600.0,22733465.0,24601860.0
Austria,AUT,15996.0,50401.0,82001.0,5502.0,18002.0,110999.0,227841.0,65082.0,178117.0,153763.0,267172.0,324998.0,7129864.0,7376998.0,7544201.0,7568430.0,7574140.0,7574586.0,7840709.0,7968041.0,8081957.0,8295487.0,8429991.0,8797566.0
Azerbaijan,AZE,0.0,-40000.0,-50466.0,-50466.0,-101568.0,-161568.0,-115116.0,-111849.0,36523.0,53579.0,8499.0,6002.0,4171426.0,4843868.0,5385263.0,5863132.0,6349553.0,6893489.0,7382000.0,7838250.0,8171950.0,8581300.0,9295784.0,9854033.0
Burundi,BDI,-84989.0,-57900.0,-266496.0,-150290.0,-139146.0,-180004.0,-320001.0,-455304.0,-24721.0,30004.0,-70001.0,10003.0,2907321.0,3253218.0,3569666.0,3854445.0,4379724.0,5027138.0,5685565.0,6122130.0,6704113.0,7862214.0,9245988.0,10827024.0
Belgium,BEL,38304.0,47288.0,70980.0,73523.0,18478.0,42556.0,106947.0,50870.0,219560.0,294270.0,258672.0,240000.0,9220578.0,9580991.0,9711115.0,9830358.0,9856303.0,9870234.0,10045158.0,10181245.0,10332785.0,10625700.0,11106932.0,11375158.0
Benin,BEN,-24295.0,-23742.0,-24845.0,-19393.0,-10848.0,-8723.0,68259.0,-2851.0,25005.0,-48776.0,-42268.0,-10000.0,2502896.0,2735307.0,3043567.0,3433439.0,3927714.0,4535263.0,5331803.0,6281639.0,7295394.0,8454793.0,9729248.0,11175204.0
Burkina Faso,BFA,-144723.0,-144723.0,-170263.0,-217400.0,-217400.0,-183699.0,-150001.0,-137499.0,-125000.0,-125000.0,-125000.0,-125000.0,4960326.0,5343019.0,5825173.0,6398935.0,7158255.0,8140073.0,9297113.0,10665546.0,12293100.0,14252021.0,16571246.0,19193284.0
Bangladesh,BGD,-142378.0,-161822.0,-3045287.0,-1137344.0,-793826.0,-219363.0,-813794.0,-719899.0,-1492537.0,-3254778.0,-2306839.0,-1847503.0,50752157.0,59034249.0,66625705.0,73463584.0,83932127.0,95671163.0,107983704.0,120160564.0,132478086.0,142660376.0,151007807.0,159670593.0
Bulgaria,BGR,-1437.0,-6423.0,-43396.0,-94868.0,-22346.0,-184143.0,-356464.0,-133824.0,-85500.0,-83742.0,-24472.0,-24001.0,8012946.0,8310226.0,8576200.0,8804183.0,8917457.0,8971359.0,8540164.0,8312068.0,7837161.0,7545338.0,7305888.0,7075947.0
Bahrain,BHR,-4195.0,-8033.0,19123.0,48962.0,3234.0,12899.0,5480.0,39180.0,155500.0,272000.0,42000.0,239000.0,173144.0,196063.0,229155.0,303175.0,385950.0,448971.0,523086.0,594931.0,735146.0,1035919.0,1299943.0,1494074.0
"Bahamas, The",BHS,13873.0,13929.0,949.0,2981.0,646.0,-811.0,-322.0,-3001.0,11877.0,14536.0,4999.0,4999.0,121091.0,152620.0,177866.0,197101.0,220184.0,243271.0,266029.0,287358.0,307660.0,337389.0,363584.0,381761.0
