,Country Name,Country Code,Indicator Name,Indicator Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
0,Aruba,ABW,Net migration,SM.POP.NETM,-4323.0,-4275.0,-3537.0,-5470.0,-1921.0,-5194.0,14218.0,6926.0,6263.0,-441.0,1253.0,1004.0
1,Afghanistan,AFG,Net migration,SM.POP.NETM,-20000.0,-20000.0,-20000.0,-1153959.0,-3345095.0,-1525351.0,3076383.0,-867540.0,744193.0,-1046361.0,521769.0,-314602.0
2,Angola,AGO,Net migration,SM.POP.NETM,-296717.0,-587286.0,199800.0,199800.0,234148.0,188491.0,142812.0,199800.0,261100.0,357301.0,166267.0,32066.0
3,Albania,ALB,Net migration,SM.POP.NETM,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-443212.0,-179606.0,-176774.0,-217358.0,-136590.0,-69998.0
4,Andorra,AND,Net migration,SM.POP.NETM,,,,,,,,,,,,
5,Arab World,ARB,Net migration,SM.POP.NETM,-499808.0,-835129.0,-920852.0,1644984.0,497963.0,-562598.0,-255813.0,-1739489.0,183214.0,3760036.0,47229.0,-1408824.0
6,United Arab Emirates,ARE,Net migration,SM.POP.NETM,37882.0,53823.0,260488.0,372430.0,184159.0,256638.0,368126.0,498394.0,1189616.0,3592436.0,270000.0,200000.0
7,Argentina,ARG,Net migration,SM.POP.NETM,122000.0,130000.0,142000.0,-230000.0,140000.0,160000.0,-105000.0,-128000.0,-125000.0,-120000.0,30000.0,24000.0
8,Armenia,ARM,Net migration,SM.POP.NETM,70335.0,103399.0,86404.0,17214.0,-51230.0,-67528.0,-496288.0,-223873.0,-160521.0,-183361.0,-30535.0,-24989.0
9,American Samoa,ASM,Net migration,SM.POP.NETM,,,,,,,,,,,,
10,Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,-1880.0,-1202.0,-7018.0,-4428.0,-3763.0,-2890.0,2231.0,2469.0,252.0,1887.0,943.0,0.0
11,Australia,AUS,Net migration,SM.POP.NETM,384343.0,806193.0,259531.0,235744.0,453572.0,654209.0,351078.0,388419.0,589282.0,1210802.0,989375.0,791229.0
12,Austria,AUT,Net migration,SM.POP.NETM,15996.0,50401.0,82001.0,5502.0,18002.0,110999.0,227841.0,65082.0,178117.0,153763.0,267172.0,324998.0
13,Azerbaijan,AZE,Net migration,SM.POP.NETM,0.0,-40000.0,-50466.0,-50466.0,-101568.0,-161568.0,-115116.0,-111849.0,36523.0,53579.0,8499.0,6002.0
14,Burundi,BDI,Net migration,SM.POP.NETM,-84989.0,-57900.0,-266496.0,-150290.0,-139146.0,-180004.0,-320001.0,-455304.0,-24721.0,30004.0,-70001.0,10003.0
15,Belgium,BEL,Net migration,SM.POP.NETM,38304.0,47288.0,70980.0,73523.0,18478.0,42556.0,106947.0,50870.0,219560.0,294270.0,258672.0,240000.0
16,Benin,BEN,Net migration,SM.POP.NETM,-24295.0,-23742.0,-24845.0,-19393.0,-10848.0,-8723.0,68259.0,-2851.0,25005.0,-48776.0,-42268.0,-10000.0
17,Burkina Faso,BFA,Net migration,SM.POP.NETM,-144723.0,-144723.0,-170263.0,-217400.0,-217400.0,-183699.0,-150001.0,-137499.0,-125000.0,-125000.0,-125000.0,-125000.0
18,Bangladesh,BGD,Net migration,SM.POP.NETM,-142378.0,-161822.0,-3045287.0,-1137344.0,-793826.0,-219363.0,-813794.0,-719899.0,-1492537.0,-3254778.0,-2306839.0,-1847503.0
19,Bulgaria,BGR,Net migration,SM.POP.NETM,-1437.0,-6423.0,-43396.0,-94868.0,-22346.0,-184143.0,-356464.0,-133824.0,-85500.0,-83742.0,-24472.0,-24001.0
20,Bahrain,BHR,Net migration,SM.POP.NETM,-4195.0,-8033.0,19123.0,48962.0,3234.0,12899.0,5480.0,39180.0,155500.0,272000.0,42000.0,239000.0
21,"Bahamas, The",BHS,Net migration,SM.POP.NETM,13873.0,13929.0,949.0,2981.0,646.0,-811.0,-322.0,-3001.0,11877.0,14536.0,4999.0,4999.0
